112,BNK금융지주,"8,950",150,+1.70%,"5,000","29,171","325,935",39.04,"1,870,789",3.58,6.11,
113,효성첨단소재,"650,000","1,000",-0.15%,"5,000","29,120","4,480",11.52,"31,935",13.56,0.03,
114,키움증권,"109,500","2,000",+1.86%,"5,000","28,710","26,220",25.45,"60,487",3.15,27.63,
115,에스원,"75,300",200,+0.27%,500,"28,613","37,999",53.11,"42,736",18.82,10.48,
116,SK케미칼,"161,000","13,000",+8.78%,"5,000","28,369","17,621",16.46,"657,616",76.74,30.49,
117,KCC,"315,500","1,000",+0.32%,"5,000","28,037","8,886",12.78,"33,367",3.98,12.79,
118,만도,"59,300",0,0.00%,"1,000","27,846","46,957",21.33,"209,357",12.49,0.37,
119,씨에스윈드,"64,800","3,100",+5.02%,500,"27,327","42,171",10.99,"499,872",58.80,8.19,
120,한화생명,"3,120",105,+3.48%,"5,000","27,098","868,530",8.16,"3,664,272",3.54,1.90,
121,포스코인터내셔널,"21,700",750,+3.58%,"5,000","26,772","123,375",6.57,"1,587,378",8.77,7.69,
122,녹십자,"229,000",500,-0.22%,"5,000","26,762","11,687",22.86,"42,578",31.03,7.48,
123,솔루스첨단소재,"86,000",200,+0.23%,100,"26,307","30,590",7.88,"277,978",-338.58,-5.10,
124,제일기획,"22,850",150,-0.65%,200,"26,287","115,041",32.68,"402,193",13.46,16.11,
125,BGF리테일,"151,500","2,000",-1.30%,"1,000","26,185","17,284",32.45,"31,218",18.96,18.60,
126,OCI,"109,500","2,000",+1.86%,"5,000","26,115","23,849",18.38,"263,119",13.06,-9.89,
127,대우조선해양,"24,100",150,+0.63%,"5,000","25,857","107,291",5.56,"276,298",-1.75,2.27,
128,롯데쇼핑,"89,900","1,100",+1.24%,"5,000","25,432","28,289",10.97,"63,698",-9.56,-7.70,
129,CJ,"86,700","1,600",+1.88%,"5,000","25,296","29,177",17.36,"67,944",75.13,1.89,
130,대우건설,"6,050",30,-0.49%,"5,000","25,145","415,623",10.99,"1,106,999",5.14,11.06,
131,효성티앤씨,"572,000","2,000",+0.35%,"5,000","24,754","4,328",18.86,"29,575",3.50,25.10,
132,LG화학우,"317,000","6,000",-1.86%,"5,000","24,373","7,689",70.17,"20,552",8.26,N/A,
133,한화,"32,500",200,+0.62%,"5,000","24,362","74,959",16.65,"204,625",5.50,4.79,
134,현대차우,"100,000","1,000",+1.01%,"5,000","24,357","24,357",58.06,"50,210",5.07,N/A,
135,KODEX 200선물인버스2X,"2,165",10,-0.46%,0,"24,319","1,123,300",3.01,"137,808,255",N/A,N/A,
136,한샘,"103,000","4,700",+4.78%,"1,000","24,240","23,534",18.00,"534,848",30.30,10.83,
137,DL이앤씨,"125,000","3,000",+2.46%,"5,000","24,198","19,359",25.46,"82,503",N/A,N/A,
138,신세계,"244,000","1,500",-0.61%,"5,000","24,022","9,845",24.84,"66,845",9.17,-2.81,
139,한화에어로스페이스,"47,150","1,400",+3.06%,"5,000","23,872","50,630",16.63,"401,352",8.56,4.78,
140,더존비즈온,"75,100",600,-0.79%,500,"22,817","30,383",40.03,"48,931",36.76,15.09,
141,현대로템,"20,800",150,+0.73%,"5,000","22,702","109,142",4.17,"362,103",72.47,2.84,
142,현대해상,"25,200",450,+1.82%,500,"22,529","89,400",25.89,"439,059",5.89,7.13,
143,휠라홀딩스,"35,950",350,-0.96%,"1,000","21,840","60,752",44.67,"329,393",9.29,10.94,
144,효성,"101,000",500,+0.50%,"5,000","21,282","21,071",8.24,"38,700",5.50,-2.26,
145,현대위아,"77,400",600,+0.78%,"5,000","21,049","27,195",6.62,"136,551",57.68,1.96,
146,TIGER 200,"39,905",95,+0.24%,0,"20,990","52,600",0.00,"799,065",N/A,N/A,
147,하이트진로,"29,850",250,-0.83%,"5,000","20,935","70,134",4.58,"241,720",40.67,8.23,
148,일진하이솔루스,"56,500","3,400",-5.68%,500,"20,517","36,313",3.38,"478,015",105.41,34.27,
149,코오롱인더,"74,500",0,0.00%,"5,000","20,502","27,519",19.20,"122,646",11.56,9.70,
150,롯데정밀화학,"77,400",800,-1.02%,"5,000","19,969","25,800",22.23,"89,456",4.69,12.65,
151,두산,"120,500","6,000",+5.24%,"5,000","19,911","16,524",10.98,"118,832",-69.41,-34.34,
152,영원무역,"44,750",600,+1.36%,500,"19,829","44,311",27.92,"119,470",8.60,8.03,
153,농심,"316,500","3,500",+1.12%,"5,000","19,252","6,083",12.90,"27,850",18.04,7.50,
154,후성,"20,300",400,-1.93%,500,"18,799","92,607",8.15,"1,362,130",68.35,2.79,
155,대웅,"31,900",0,0.00%,500,"18,547","58,142",4.42,"43,782",17.57,15.10,
156,NHN,"94,100","5,100",+5.73%,500,"18,411","19,565",18.22,"804,450",56.69,1.35,
157,KODEX 레버리지,"23,880",100,+0.42%,0,"18,006","75,400",2.33,"12,688,861",N/A,N/A,
158,한전KPS,"39,950",450,+1.14%,200,"17,978","45,000",6.51,"104,564",14.88,8.23,
159,KODEX MSCI Korea TR,"12,810",20,+0.16%,0,"17,742","138,500",4.10,"464,625",N/A,N/A,
160,신풍제약,"33,200",950,-2.78%,500,"17,591","52,985",12.14,"640,711","5,533.33",1.72,
161,TIGER 미국나스닥100,"83,925","2,945",-3.39%,0,"17,524","20,880",0.01,"455,357",N/A,N/A,
162,현대백화점,"74,700",100,+0.13%,"5,000","17,482","23,402",18.01,"75,818",11.30,1.65,
163,한미반도체,"35,300","1,000",-2.75%,200,"17,459","49,460",6.32,"403,962",20.99,21.03,
164,대웅제약,"149,000",500,-0.33%,"2,500","17,264","11,587",6.53,"19,857",149.60,2.38,
165,LS,"53,500",400,-0.74%,"5,000","17,227","32,200",14.35,"77,726",6.72,3.94,
166,JB금융지주,"8,700",220,+2.59%,"5,000","17,138","196,983",41.49,"623,827",3.59,10.06,
167,오뚜기,"465,000","4,500",+0.98%,"5,000","17,075","3,672",12.11,"10,299",15.44,7.93,
168,케이카,"35,300","2,500",-6.61%,500,"16,975","48,087",17.90,"634,231",58.64,15.11,
169,현대엘리베이,"41,300",150,+0.36%,"5,000","16,857","40,815",28.65,"114,969",26.61,9.78,
170,DGB금융지주,"9,870",210,+2.17%,"5,000","16,695","169,146",48.95,"493,076",3.53,6.93,
171,KODEX 단기채권,"103,085",15,+0.01%,0,"16,677","16,178",0.00,"6,305",N/A,N/A,
172,LS ELECTRIC,"54,300","1,100",-1.99%,"5,000","16,290","30,000",18.26,"66,704",20.10,6.15,
173,HDC현대산업개발,"24,150",850,+3.65%,"5,000","15,917","65,907",10.70,"270,219",5.25,8.85,
174,한일시멘트,"22,950",600,+2.68%,500,"15,896","69,262",2.56,"628,520",15.12,N/A,
175,동국제강,"16,350",250,+1.55%,"5,000","15,603","95,433",23.43,"836,882",3.45,3.35,
176,대한전선,"1,815",0,0.00%,500,"15,545","856,473",2.60,"3,480,345",46.54,0.92,
177,PI첨단소재,"51,700",100,-0.19%,500,"15,182","29,366",14.02,"181,276",25.95,15.62,
178,동원시스템즈,"52,000",500,-0.95%,"5,000","15,178","29,188",13.23,"26,103",23.55,10.97,
179,KODEX 종합채권(AA-이상)액티브,"108,555",25,-0.02%,0,"15,046","13,860",0.00,"3,249",N/A,N/A,
180,명신산업,"28,550",100,-0.35%,500,"14,980","52,470",1.87,"365,843",-12.38,-67.39,
181,아시아나항공,"19,900",50,+0.25%,"5,000","14,808","74,412",7.96,"362,879",-3.42,-43.83,
182,한국앤컴퍼니,"15,550",100,-0.64%,500,"14,762","94,935",9.81,"69,787",5.97,5.08,
183,TIGER MSCI Korea TR,"16,135",20,+0.12%,0,"14,457","89,600",0.00,"66,272",N/A,N/A,
184,TIGER 단기통안채,"100,480",0,0.00%,0,"14,266","14,198",0.86,"3,437",N/A,N/A,
185,에스엘,"29,550",750,-2.48%,500,"14,244","48,203",15.78,"161,425",9.80,4.74,
186,LIG넥스원,"64,300","3,400",+5.58%,"5,000","14,146","22,000",6.91,"894,834",14.99,8.86,
187,롯데렌탈,"38,050",100,-0.26%,"5,000","13,939","36,634",1.52,"54,954",13.19,6.73,
188,한화투자증권,"6,420",90,-1.38%,"5,000","13,774","214,548",6.02,"7,614,377",10.79,5.58,
189,종근당,"119,000",0,0.00%,"2,500","13,597","11,426",8.10,"30,471",25.99,17.88,
190,DL,"64,500","2,300",+3.70%,"5,000","13,517","20,956",12.71,"108,440",2.05,11.84,
191,롯데리츠,"5,560",70,-1.24%,500,"13,509","242,969",9.63,"199,932",34.75,1.68,
192,프레스티지바이오파마,"22,400",750,+3.46%,0,"13,462","60,096",61.94,"97,408",-157.75,-1.78,
193,F&F홀딩스,"34,250",150,-0.44%,500,"13,397","39,114",0.91,"58,980",0.28,16.59,
194,아이에스동서,"43,300",200,-0.46%,500,"13,376","30,893",5.15,"48,476",24.80,10.92,
195,코스모신소재,"44,150","1,050",-2.32%,"1,000","13,283","30,087",6.05,"315,981",56.60,7.16,
196,KODEX 삼성그룹,"9,960",25,+0.25%,0,"13,137","131,900",2.21,"172,148",N/A,N/A,
197,녹십자홀딩스,"27,750",800,+2.97%,500,"13,050","47,028",5.55,"260,202",8.74,19.74,
198,대한유화,"200,000","4,000",+2.04%,"5,000","13,000","6,500",12.21,"38,718",6.22,6.93,
199,KODEX 200TR,"13,075",35,+0.27%,0,"12,905","98,700",15.21,"74,562",N/A,N/A,
200,LG생활건강우,"606,000","10,000",-1.62%,"5,000","12,724","2,100",84.31,"3,662",12.61,N/A,
